Object_Id  Timestamp Type Lat Lng 

0 0 newpoint 21.312259 40.199655
1 0 newpoint 21.487911 39.942414
2 0 newpoint 21.419505 39.776704
3 0 newpoint 21.38417 39.803452
4 0 newpoint 21.43612 39.849295
4 1 point 21.4403595983862 39.8418275931486
3 1 point 21.3789727331597 39.8056639490157
2 1 point 21.4210366571652 39.779991619317
1 1 point 21.4853334274793 39.9407404243414
0 1 point 21.3206799026435 40.1971949732163
5 1 newpoint 21.428337 39.796294
6 1 newpoint 21.439372 39.785317
7 1 newpoint 21.357306 39.870763
8 1 newpoint 21.439195 39.768378
9 1 newpoint 21.482823 39.937083
9 2 point 21.4868018706074 39.9435879655213
8 2 point 21.4404755854835 39.7773434124564
7 2 point 21.3599209760818 39.8767614991224
6 2 point 21.4351346199877 39.7900656064863
5 2 point 21.4350861198561 39.7970978693054
4 2 point 21.4384858296641 39.833260926672
3 2 point 21.3707236900743 39.803171784605
2 2 point 21.4250294630445 39.7880516866873
1 2 point 21.4836419121622 39.9372879010145
0 2 point 21.3284106236725 40.1946608104022
10 2 newpoint 21.433812 39.795342
11 2 newpoint 21.41058 39.804655
12 2 newpoint 21.502389 39.964221
13 2 newpoint 21.396934 39.792571
14 2 newpoint 21.428022 39.829844
14 3 point 21.4288257492212 39.8294548858863
13 3 point 21.4020505785526 39.7934293254813
12 3 point 21.4976098289711 39.9577002414092
11 3 point 21.4053785036074 39.8091667986776
10 3 point 21.4387006081562 39.790016046581
9 3 point 21.4898491216297 39.9517912755126
8 3 point 21.4399328561289 39.7863742173805
7 3 point 21.363416753628 39.884975794173
6 3 point 21.4262041688595 39.7894374155703
5 3 point 21.4392908230085 39.7891532691397
4 3 point 21.4366180648952 39.8261023962272
3 3 point 21.3644762707533 39.7967867348207
2 3 point 21.4275362040494 39.794795591087
1 3 point 21.4826798487014 39.9335849743823
0 3 point 21.3356759862938 40.1925733616003
15 3 newpoint 21.439446 39.797373
16 3 newpoint 21.36486 39.976084
17 3 newpoint 21.413736 39.774867
18 3 newpoint 21.388512 39.960928
19 3 newpoint 21.338995 39.988534
19 4 point 21.3431041398481 39.9816161569215
18 4 point 21.3807064661941 39.9655885556188
17 4 point 21.4113364673626 39.7800280647513
16 4 point 21.3715550622683 39.9725282652852
15 4 point 21.4326232195693 39.8011998986682
14 4 point 21.4296107336676 39.829231536205
13 4 point 21.4075866486278 39.7978123609694
12 4 point 21.4911253258536 39.9515437956912
11 4 point 21.396374132905 39.8097104518451
10 4 point 21.4401217880315 39.7983702632471
9 4 disappearpoint 21.490654 39.953351
8 4 point 21.4368438617863 39.7947901340997
7 4 point 21.3706930989116 39.8904573854721
6 4 point 21.4231579827842 39.7836900987794
5 4 point 21.4404850408482 39.78016250548
4 4 point 21.4392936086363 39.8174369422393
3 4 point 21.3573009639805 39.7911971407493
2 4 point 21.4325098745189 39.800466605133
1 4 point 21.4821206495282 39.9297812344234
0 4 point 21.3423910792505 40.1952007959013
20 4 newpoint 21.45412 39.845012
21 4 newpoint 21.371604 39.833235
22 4 newpoint 21.349945 39.784592
23 4 newpoint 21.47183 39.946587
24 4 newpoint 21.399759 39.785618
24 5 point 21.4026551770185 39.7925697220282
23 5 point 21.4741786460635 39.9403939740798
22 5 point 21.3510912081989 39.7855143251058
21 5 point 21.3782068825621 39.8309806354361
20 5 point 21.4504957793088 39.8391899200347
18 5 point 21.3730937210818 39.9705783242202
17 5 point 21.4106780573361 39.7865289133575
16 5 point 21.3788085790695 39.9671726668837
15 5 point 21.4320748608872 39.809588601664
14 5 point 21.4299067972477 39.8284081697856
13 5 point 21.4144331309901 39.8034989382751
12 5 point 21.4868054073012 39.9436008420754
11 5 point 21.38974600856 39.8144692194088
10 5 point 21.4413432323488 39.8073185867491
19 5 point 21.343010238476 39.9730685423806
8 5 point 21.4330733726599 39.8023684204586
7 5 point 21.3782248124268 39.895564389507
6 5 point 21.4147683995447 39.7816449436287
5 5 point 21.4394206444 39.7713005073848
4 5 point 21.4434160578265 39.8102642190731
3 5 point 21.352068016114 39.7838420974228
2 5 point 21.4320299321087 39.808803852592
1 5 point 21.481561450355 39.9259774944644
0 5 point 21.349656132235 40.1993437187576
25 5 newpoint 21.451614 39.845665
26 5 newpoint 21.429053 39.823703
27 5 newpoint 21.422055 39.831179
28 5 newpoint 21.413951 39.786451
29 5 newpoint 21.341443 39.964114
29 6 point 21.3454054627473 39.9575244031097
28 6 point 21.4105750782847 39.7818287829298
27 6 point 21.4207467090871 39.8269724291715
26 6 point 21.4307921120329 39.8167009332407
25 6 point 21.4500411240573 39.8390401814639
24 6 point 21.4092762382679 39.7987955898054
23 6 point 21.4816510189612 39.9357660622854
22 6 point 21.3501469522262 39.7866713820047
21 6 point 21.3857164694725 39.8265764399146
20 6 point 21.4422124947196 39.8356056305467
18 6 point 21.3654839196255 39.972736856635
17 6 point 21.4087654338578 39.7944800564664
16 6 point 21.3865401831495 39.9623508295367
15 6 point 21.4300915615948 39.8171622559061
14 6 point 21.4303471067607 39.8278605196962
13 6 point 21.4222389690958 39.8067549073361
12 6 point 21.4829855364368 39.9353763842261
11 6 point 21.3859113279574 39.8223221583798
10 6 point 21.4396613109484 39.8158092112085
19 6 point 21.347756814676 39.9652907211738
8 6 point 21.4323566775355 39.8108225794762
7 6 point 21.3859649862988 39.9003565604864
6 6 point 21.4119532758271 39.7787009404807
5 6 point 21.4411812606184 39.7635496868585
4 6 point 21.4514035080412 39.808582784085
3 6 point 21.3474954534024 39.7760307419173
2 6 point 21.4354762730703 39.8171935913881
1 6 point 21.4808588460022 39.9221989937338
0 6 point 21.3541920586292 40.1927363723561
30 6 newpoint 21.387783 39.940613
31 6 newpoint 21.360241 39.874377
32 6 newpoint 21.472219 39.785174
33 6 newpoint 21.435785 39.796422
34 6 newpoint 21.457758 40.003699
34 7 point 21.4615005137189 40.0028201223327
33 7 point 21.4374819966216 39.7900803698506
32 7 point 21.4700918221514 39.7784342403358
31 7 point 21.3692090697751 39.8737388129421
30 7 point 21.3815479817436 39.9438106318764
29 7 point 21.350334107365 39.9522743107365
28 7 disappearpoint 21.408326 39.781649
27 7 disappearpoint 21.420487 39.826889
26 7 point 21.4376076039089 39.8114715479034
25 7 point 21.4461644272295 39.8352333851151
24 7 point 21.4112973474386 39.8076539412537
23 7 point 21.4815258206731 39.9269421987243
22 7 point 21.3504616623118 39.7884723983534
21 7 point 21.3943862562314 39.8255873329705
20 7 point 21.4350920489133 39.8300777365062
18 7 point 21.368193180307 39.9647343629889
17 7 point 21.4102795119027 39.8034039975956
16 7 point 21.3919632681722 39.9554305652172
15 7 point 21.4279316922141 39.8243141977373
14 7 point 21.430587540081 39.8270563147312
13 7 point 21.43134204097 39.8065973976564
12 7 point 21.4816190081145 39.9263690092594
11 7 point 21.3818286263521 39.8300174340515
10 7 point 21.4370786008596 39.8245007906347
19 7 point 21.3525265291798 39.9575424090464
8 7 point 21.4290532068581 39.8178833332749
7 7 point 21.3865710843403 39.9040359255821
6 7 disappearpoint 21.410942 39.776793
